location,price
Balaji Gardens Layout,36.5
Balepet,89.0
Banagiri Nagar,146.80555555555554
Banagirinagar,130.0
"Banasawadi, ",156.0
Banashankari,104.81378378378379
Banashankari 2 nd Stage,77.25
Banashankari 2nd Stage,95.0
"Banashankari 3rd stage, Vivekanandanagar",100.0
Banashankari 6th Stage,80.0
"Banashankari 6th Stage ,Subramanyapura",100.0
"Banashankari 6th stage , 2nd block",100.0
Banashankari Stage I,170.0
Banashankari Stage II,226.4075
Banashankari Stage III,121.02148148148147
Banashankari Stage V,65.14583333333333
Banashankari Stage VI,113.49875
Banashankari stage 2,77.25
Banashankari3rd stage bigbazar,125.0
Banaswadi,140.96875
"Banaswadi, ",214.0
Bande Nallasandra,130.0
Bandepalya,48.0
Banjara Layout,84.11818181818181
Bank Avenue,99.0
Bank Of Baroda Colony,176.28571428571428
Bannerghatta,114.39411764705882
Bannerghatta Road,98.01993421052632
Bapuji Layout,275.0
Bapuji Nagar,126.0
Basapura,56.7
Basava Nagar,48.699999999999996
Basavanagara,113.6
Basavanapura,68.27125000000001
Basavangudi,188.69354838709677
Basavanna Nagar,91.875
Basaveshwara Nagar,183.61904761904762
Basaveshwara Nagar Yelahanka,129.42857142857142
Basaveswarnagar,420.0
"Basnashankari,6th stage,",54.0
Basvasamithi Layout Vidyaranyapura,175.0
Battarahalli,74.81875000000001
Begur,68.63125
Begur Road,58.17321428571429
Behind Don Bosco Church,110.0
Belathur,38.0
Belatur,53.333333333333336
Bellandur,91.19333333333333
"Bellandur, ",206.0
Bellari Road,105.958
"Beml layout, Rajarajeshwari nagar",325.0
Bendiganahalli,122.5
Bennigana Halli,145.0
Benson Town,346.7433333333333
Bethel Nagar,49.0
Bettadasanapura,90.0
Bettahalsoor,265.0
Bhagyalakshmi Avenue,26.836666666666662
Bharat Nagar,180.0
Bharath Housing Society Layout,200.0
Bharathi Nagar,68.31166666666667
Bharathnagar,120.0
Bhattarahalli,50.0
Bhoganhalli,99.81645833333333
Bhoopsandra,152.5
Bhuvaneshwari Nagar,52.580000000000005
Bhuvaneswari Nagar,110.0
Bidadi,122.66666666666667
"Bidere Agarahara, Behind Safal market",42.0
Bidrahalli,53.5
Bikasipura,171.25
Bilal Nagar,20.0
Bileshivale,219.5
Billamaranahalli,102.5
Billapura,110.0
Billekahalli,95.42277777777778
Binnamangala,900.0
Binny Mills Employees Colony,230.0
Binny Pete,147.5055
Bisuvanahalli,41.72509803921569
Bommanahalli,60.29617647058824
Bommasandra,50.35054054054054
Bommasandra Industrial Area,40.949615384615385
Bommenahalli,320.6666666666667
Brigade Road,220.0
Brindavan Layout,94.34
Brindavan Nagar,113.33333333333333
Brooke Bond First Cross,78.0
Brookefield,118.48936170212765
Budigere,69.90379629629629
Bull Temple Road,140.0
Byadarahalli,384.5
Byagadadhenahalli,26.2
Byappanahalli,90.0
Byatarayanapura,102.0
Byrasandra,57.714285714285715
Byrasandra Extension,45.0
Byrathi Village,79.33333333333333
CHIKKATIRUPATHI,100.0
CMH Road,350.0
CQAL LAYOUT C BLOCK,160.0
CQAL Layout,275.0
CR Layout,200.0
CV Raman Nagar,79.5525581395349
Cambridge  road,110.0
Cambridge Layout,251.875
Canara Bank Colony,61.339999999999996
Canara Bank Layout,108.33333333333333
Carmelaram,95.21375
Celebrity Paradise Layout,19.244999999999997
Chaitanya Ananya,325.0
Challaghatta,112.0
Chambenahalli,50.0
Chamrajpet,216.994
Chamundi Nagar,185.0
Chandapura,33.72627551020408
Chandra Layout,128.34444444444443
Channasandra,62.578421052631576
Channasandra Layout,70.57142857142857
Chelekare,60.9
Chellikere,46.0
Chennammana Kere,73.57444444444444
Chennammanakere Achukattu,63.5
Chennappa Layout,47.45
Chickpet,48.0
Chikbasavanapura,60.0
Chikka Banaswadi,71.0
Chikka Gowdanapalya.,78.0
Chikka Tirupathi,115.01588235294118
Chikkaballapur,100.0
Chikkabanavar,69.6923076923077
Chikkabettahalli,150.0
Chikkabidarakallu,325.0
Chikkadunnasandra,46.0
Chikkagubbi,400.0
Chikkajala,50.0
Chikkakannalli,87.5
Chikkalasandra,71.17033333333333
Chikkanahalli,52.0
Chikkasandra,98.5
Chikkathoguru,45.625
Chikku Lakshmaiah Layout,282.5
Chinnapanahalli,46.0
Chokkahalli,90.0
Chokkanahalli,48.5
Chokkasandra,33.0
Cholanayakanahalli,236.42857142857142
Choodasandra,94.39307692307692
Chowdeshwari Layout,80.0
Chuchangatta Colony,44.0
Church Street,1068.0
Ckikkakammana Halli,42.0
Classic Paradise Layout,99.0
Cleveland Town,122.5
Coconut Garden,85.0
Coconut Grove Layout,53.8
Coffee Board Layout,105.33333333333333
Cooke Town,239.0625
Cottonpet,169.0
Cox Town,126.66666666666667
Craig Park Layout,148.0
Crimson Layout,70.66666666666667
Cubbon Road,1900.0
Cunningham Road,824.3846153846154
D Group Employees Layout,182.0
D Souza Layout,1015.0
DUO Layout,75.0
Daadys Gaarden Layout,69.0
Dairy Circle,333.6
Dasanapura,49.903125
Dasappa Layout,87.0
Dasarahalli,83.01235294117647
Deepanjali Nagar,160.0
Defence Colony,1167.7142857142858
Defence Layout,130.0
Dena Bank Colony,69.75
Devanahalli,121.236375
Devanahalli Int. Airport,164.0
Devanahalli Road,145.5
Devara Jeevanahalli,46.333333333333336
Devarabeesana Halli,110.0
Devarabisanahalli,80.0
Devarachikkanahalli,55.666666666666664
Devasandra Extension,106.0
Devasthanagalu,54.5
Devi Nagar,71.8
Dhanalakshmi Layout,250.0
Dinnur,115.66666666666667
Divya Unnathi Layout,57.85
Doctor Layout Rayasandra,90.0
Doctors Layout,53.114285714285714
Dodda Banaswadi,86.66666666666667
Dodda Kempaiah Layout,60.0
Dodda Nekkundi,106.58413793103449
Dodda Nekkundi Extension,87.9375
Doddaballapur,165.79166666666666
Doddabanahalli,44.666
Doddabele,36.0
Doddabidrakallu,53.5
Doddabommasandra,128.85714285714286
Doddagubbi,55.25
Doddakallasandra,56.22071428571429
Doddakammanahalli,63.5
Doddakannelli,73.33333333333333
Doddanakundi Industrial Area 2,72.50166666666667
Doddanakunte,150.0
Doddanekundi,221.23333333333335
Doddathoguru,43.413
Dodsworth Layout,538.2
Dollar Scheme Colony,310.0
Dollars Colony,744.375
Dollars Layout,356.0
Dominic Layout,39.14
Domlur,163.77272727272728
Domlur Layout,318.3333333333333
Dommasandra,41.02846153846154
Doopanahalli,143.8
Dooravani Nagar,123.75
Double Road,100.0
Dr Shivarama Karantha Nagar,59.5
Duddanahalli,47.0
Duvasapalya,48.6
Dwaraka Nagar,51.0
Dwarka Nagar,110.375
"ECC Road, Whitefield, ",80.0
"EPIP AREA, WHITEFIELD",139.0
EPIP Zone,134.86260869565217
Ejipura,111.55555555555556
Electronic City,54.972384105960266
"Electronic City Phase 1, ",50.0
Electronic City Phase II,47.40687022900764
"Electronic city Phase 1, ",45.5
"Electronic city phase 1, ",39.0
Electronics City Phase 1,55.480348837209306
Escorts Colony,93.0
Esther Enclave Layout,91.33333333333333
Ex-Servicemen Colony Dinnur Main Road R.T.Nagar,101.0
Ferrar Nagar,126.33333333333333
Fraser town,128.0
Frazer Town,246.73472222222225
Friends Colony,59.5
GB Palya,45.0
GD Layout,56.0
GKW Layout,225.0
GM Palaya,56.82916666666667
Gandhi Bazar,240.0
Gandhi Nagar,80.0
Ganesha Block,209.0
Ganga Nagar,66.3
Ganga Nagar Extension,65.0
Ganganahalli,90.0
Gangondanahalli,48.0
Garden Layout,93.93
Garebhavipalya,65.0
Garudachar Palya,83.37277777777778
Gattahalli,67.83333333333333
Gattigere,79.0
Gaundanapalya,46.0
Gaurava Nagar,123.0
Gayathri Nagar,90.0
Geddalahalli,56.75
Geetanjali Layout,300.0
Geleyara Balaga Layout,24.0
Gidada Konnenahalli,172.5
Giri Nagar,273.14285714285717
Gkvk Layout,143.0
Glass Factory Layout,58.75
Gnana Bharathi,150.0
Gokaula Extension,90.0
Gokula Extension,118.33333333333333
Gollahalli,51.900000000000006
Gollarahatti,24.5
Gollarapalya Hosahalli,51.46153846153846
Gopal Reddy Layout,75.0
Gopalapura,324.6666666666667
Gopalkrishna Nagar,87.25
Goraguntepalya,150.0
Gottigere,61.017291666666665
Govindapura,71.0
Govindaraja Nagar Ward,207.5
Govindpura,77.792
Govindraja Nagar,50.0
Gowdanapalya,84.5
Green Domain Layout,122.5
Green Garden Layout,57.5
Green Glen Layout,118.04615384615386
Green View Layout,42.142857142857146
Green Woods Layout,59.5
Grihalakshmi Layout,150.0
Gubbalala,103.11769230769231
"Gubbi Cross, Hennur Main Road",300.0
Guddadahalli,102.5
Gulakamale,50.0
Gulimangala,51.666666666666664
Guni Agrahara,117.5
Gunjur,99.21545454545453
Gunjur Palya,39.806
HAL 2nd Stage,339.27272727272725
HAL 3rd Stage,199.5
HAL Layout,65.0
HBR Layout,131.3
HMT Layout,145.6
HOSUR MAIN ROAD,55.714285714285715
HOSUR RMAIN ROAD,56.0
HRBR Layout,144.81578947368422
HSR Layout,100.16981132075472
"HSR Layout 7th sector, ",152.0
Hadosiddapura,110.0
Hagadur,47.833333333333336
Hal old airport road,110.0
Halanayakanahalli,165.0
Hallehalli,59.0
Handenahalli,120.0
Hanumagiri,38.0
Hanuman Nagar,108.0
Hanumanth Nagar,57.5875
Hanumantha Nagar,203.33333333333334
Haralur Road,82.16035460992909
"Haralur Road, ",189.0
Harappanahalli,191.0
Harlur,109.87544303797468
Harohalli,52.0
Harsha Layout,38.0
Havanur extension,360.0
Hebbal,160.44170454545454
Hebbal Kempapura,193.2941176470588
Hegde Nagar,137.9561224489796
Hegganahalli,47.0
Hennagara,74.0
Hennur,67.78067307692308
Hennur Bande,114.66666666666667
Hennur Busstop,62.7
Hennur Gardens,119.57142857142857
Hennur Road,102.76520000000001
Herohalli,76.125
Hessarghatta,57.57142857142857
High grounds,190.0
Himagiri Meadows,130.33333333333334
Hiremath Layout,89.6
Hommadevanahalli,50.0
Hongasandra,72.375
Hoodi,91.65022727272728
"Hoodi Circle, ",61.699999999999996
Hoodi Layout,81.5
Horamavu Agara,53.81904761904762
Horamavu Banaswadi,65.48214285714286
Hormavu,71.1152027027027
Hosa Road,70.33375
Hosahalli,70.0
Hosahalli Extension,143.0
Hosakerehalli,179.60333333333335
Hosakerehalli Layout,89.5
Hosapalya,71.33333333333333
Hoskote,61.92595238095238
Hoskote near,29.5
Hosur Road,95.20630434782608
Housing Board Layout Vijay Nagar,220.0
Howthinarayanappa Garden,52.0
Hoysalanagar,52.25
Hsr layout sector3,375.0
Hulimavu,85.91884615384615
Hullahalli,99.0
Hunasamaranahalli,787.5
Huskur,39.8775
Huttanahalli,325.0
ISRO Layout,128.46153846153845
ITI Employees Layout,230.0
ITI Layout,113.71166666666666
ITPL,85.88
Iblur Village,220.4
Iggalur,30.5
Ilyas Nagar,81.66666666666667
Immadihalli,62.0
Indira Nagar,286.3181818181818
Indira Nagar 3rd Stage,199.0
Indira Nagar Stage 2,96.0
Indiranagar HAL 2nd Stage,640.0
Indra Nagar,209.0
Indranagar  100ft road defence colony,80.0
Infantry Road,472.5
Ittamadu,84.75
J C Nagar,94.33333333333333
J P Nagar 7th Phase Ramayya City,350.0
J.P.nagar 6th Phase.Sarakki Nagar,185.0
JCR Layout,40.32
JP Nagar,108.85156716417912
"JP Nagar 7th Phase, ",83.5
"JP Nagar 8th Phase, ",166.0
"JP nagar 9th Phase, ",72.0
Jagadish Nagar,88.0
Jagajyothi layout,58.0
Jai Bheema Nagar,62.5
Jakkasandra,102.0
Jakkasandra Extension,105.6
Jakkur,132.20492647058822
Jakkur Plantation,165.22222222222223
JakkurYelahanka,75.0
Jakkuru Layout,57.54
Jaladarsini Layout,48.0
Jalahalli,94.15278846153845
Jalahalli East,56.46857142857142
Jalahalli West,45.46
Janatha Colony,57.415
Jaraganahalli Jp Nagar Post,65.0
Javarandoddi,40.0
Jay an agar 4 T Block,120.0
Jaya Mahal layout,206.5
Jaya Nagar East,350.0
Jayamahal,346.6666666666667
Jayamahal Extension,335.0
Jayanagar,202.42857142857142
"Jayanagar, ",165.0
Jayanti Nagar,82.49666666666667
Jaymahal Road,400.0
Jeevan bima nagar,141.14285714285714
Jeevanhalli,35.0
Jigani,72.80192307692307
Jinkethimmanahalli,94.33333333333333
Jnana Ganga Nagar,82.0
Jnanabharathi Layout,110.5
Jogupalya,130.0
Jp nagar 8th Phase .,525.0
Judicial Layout,206.45749999999998
"Judicial Layout, Kanakapura Road, ",48.25
Junnasandra,240.0
Jyothi Nagar,32.75
K G Colony,50.0
K N Extension,120.0
K R C kothanur,45.0
KAMAKIYA,135.0
KEB Colony,63.42
KG Halli,26.0
KHB Colony Extension,65.0
KPC Layout,62.0
KR Garden,114.6
KR Layout,260.3333333333333
KR Puram,84.62545454545455
KSRTC Layout,74.16666666666667
KUDLU MAIN ROAD,54.888888888888886
Kachanayakanahalli,38.0
Kacharakanahalli,63.06
Kada Agrahara,44.6
Kadabagere,31.7
Kadarenahalli,62.5
Kadubeesanahalli,125.15384615384616
Kadugodi,96.41357142857143
Kadugondanahalli,60.17999999999999
Kaggadasapura,61.284375
Kaggalipura,70.92105263157895
Kaikondrahalli,78.10588235294118
Kalasipalya,300.0
Kalena Agrahara,73.48484848484848
Kalhalli,160.0
Kalkere,54.4
Kalkere Channasandra,53.0
Kallumantapa,54.6
Kalyan nagar,120.8157894736842
Kamakshipalya,87.44444444444444
Kamakya Layout,152.66666666666666
Kamala Nagar,139.0
Kambipura,44.33375
Kamdhenu Nagar,46.0
Kammagondahalli,84.125
Kammanahalli,119.52941176470588
Kammasandra,38.054482758620686
Kanaka Nagar,109.25
Kanakadasa Layout,95.0
Kanakapur main road,43.04
Kanakapura,60.142738095238094
Kanakapura  Rod,45.68
Kanakapura Main Road,37.8
Kanakapura Road,130.0
"Kanakapura Road, ",95.0
Kanakapura main  Road,52.33
Kanakpura Road,70.9182196969697
Kannamangala,90.10944444444445
Kannur,55.0
Kariyammana Agrahara,90.0
Karnataka Shabarimala,70.0
Karuna Nagar,139.33333333333334
Kasavanhalli,112.85518987341771
Kashi Nagar,57.333333333333336
Kasthuri Nagar East Of NGEF,460.0
Kasturi Nagar,127.96875
Kathreguppe,725.0
Kathriguppe,77.99227272727272
Kathriguppe IV Phase,131.0
Kattigenahalli,107.125
Kaval Byrasandra,61.59090909090909
Kaverappa Layout,89.88888888888889
Kaveri Nagar,120.0
Kavika Layout,92.33333333333333
Keerthi Layout,25.0
Kempapura,152.5
Kempegowda Nagar,101.5
Kenchanehalli R R Nagar,45.12
Kenchenahalli,63.25
Kenchenhalli,73.99666666666667
Kengeri,61.44150684931506
Kengeri Hobli,55.666666666666664
Kengeri Satellite Town,54.590875000000004
Kengeri Satellite Town ( BDA SITE),172.0
Kengeri Satellite Town KHB Apartment,45.0
Kengeri Satellite Town Stage II,20.0
Kereguddadahalli,35.81875
Keshava Nagar,144.28571428571428
Kirloskar Layout,100.5
"Kirloskar layout, Basaveshwarnagar",49.5
Kithaganur,64.66666666666667
Kodanda Reddy Layout,105.0
Kodathi,33.325
Kodbisanhalli,149.75
Kodichikkanahalli,69.64814814814815
Kodigehaali,80.6923076923077
Kodigehalli,102.33272727272728
Kodihalli,367.73333333333335
Kodipalya,59.0
Kogilu,92.46719999999999
Konanakunte,189.23076923076923
Konanakunte Cross,98.0
Konappana Agrahara,42.5
Konena Agrahara,189.0
Koppa,69.0
Koramangala,203.95902777777778
Koramangala Industrial Layout,575.0
Kothannur,58.92884615384616
Kothanur,95.63030303030304
Kothnoor Dinne,36.5
Kothnur Narayanapura,100.5
Krishna Nagar,115.0
Krishna Reddy Layout,204.33333333333334
Kudlu,57.77379310344828
Kudlu Gate,83.14631578947369
"Kudlu Village, ",64.0
Kullappa Colony,62.5
Kumara Park,392.8333333333333
Kumarapalli,60.65
Kumaraswami Layout,115.71666666666667
Kumbalgodu,137.5
Kumbena Agrahara,76.23666666666666
Kumbhena Agrahara,150.0
Kundalahalli,132.65765957446808
Kundalahalli Colony,116.71428571428571
Kurubarahalli,64.2
Kuvempu Layout,160.0
Kuvempu Nagar,141.25
Kyalasanahalli,104.5
LB Shastri Nagar,75.72727272727273
LIC Colony,115.0
Laggere,101.91666666666667
Lake City,29.2
Lakkasandra,188.0
Lakkasandra Extension,250.0
Lakshmi Layout,122.5
Lakshmiamma Garden,192.5
Lakshminarayana Pura,97.13888888888889
"Lakshminarayanapura, Electronic City Phase 2",75.5
Lakshmipura,83.33333333333333
Lakshmipura Vidyaanyapura,120.0
Lal Bahadur Shastri Nagar,116.5
Lalbagh Road,367.0
Langford Gardens,649.5
Langford Town,149.0
Lavakusha Nagar,75.5
Lavelle Road,386.2
Laxmi Sagar Layout,159.0
Laxminarayana Layout,145.0
Lingadheeranahalli,115.34826086956522
Lingarajapuram,72.76222222222222
Lottegolla Halli,231.66666666666666
M C Layout,245.0
M V Extenstion,117.5
M.G Road,200.0
MCECHS  layout,88.5
"MEI layout, Bagalgunte",90.0
MLA Layout,38.0
MM Layout,45.0
MRCR Layout,90.0
MS Pallya,129.75
Madanayakahalli,34.0
Madavara,41.0
Madiwala,65.92857142857143
Magadi Road,77.6266
Mahadevpura,75.9158064516129
Mahaganapathy Nagar,70.0
Mahalakshmi Layout,294.84615384615387
Mahalakshmi Puram,211.625
Maheswari Nagar,60.0
Mailasandra,43.66
Maithri Layout,55.726
Makali,16.0
Malimakanapura,70.0
Mallappa Layout,75.0
Mallasandra,71.049375
Mallathahalli,60.815999999999995
Malleshpalya,80.05058823529413
Malleshwaram,359.4087719298245
Malur Hosur Road,100.0
Manayata Tech Park,81.875
Mangammanapalya,51.833333333333336
Manganahalli,98.0
Mango Garden Layout,125.0
Manjunath Nagar,156.0
Manjunatha Layout,92.5
Manonarayanapalya,52.0
Manorayana Palya,90.66666666666667
"Maragondana Halli, kr puram, old madras road",50.0
Maragondanahalli,64.04166666666667
Marasandra,138.66666666666666
Marathahalli,102.21371428571429
Marathalli bridge,120.0
Marenahalli,107.5
Margondanahalli,65.85615384615384
Mariyannapalya,46.0
Marsur,64.9090909090909
Maruthi Extension,180.0
Maruthi HBCS Layout,39.5
Maruthi Layout,42.0
Maruthi Nagar,128.4
Maruthi Sevanagar,135.71428571428572
Maruthi nagar kogilu,78.0
Masjid e Alkareem,62.0
Mathikere,125.55555555555556
Mathikere Extension,159.16666666666666
Mathikere SBM colony,160.0
Medahalli,76.38888888888889
Medaralli,84.0
Medi Agrahara,85.0
Meenakshi Layout,220.0
Meenakunte,255.83333333333334
Michael Palaya,200.0
Mico Layout,86.02083333333333
Milk Colony,240.0
Millers Road,460.0
Moodalapalya,72.25
Motappa Layout,55.544999999999995
Mudalpalaya,155.0
Mukkutam Nagar,180.0
Mullur,95.0
Muneshwara Nagar,57.0
Munivenkatppa Layout,226.0
Munnekollal,120.62208333333335
Murugeshpalya,102.57142857142857
Muthurayya Swamy Layout,310.0
Muthyala Nagar,165.0
Mylasandra,63.0
Mysore Road,68.5275
N R Layout,120.0
NGR Layout,46.75785714285714
NR Colony,40.05
NRI Layout,86.0657142857143
NS Palya,142.25
NTI Layout,52.5
Nagadevanahalli,100.5
Naganathapura,67.685
Nagappa Reddy Layout,60.32000000000001
Nagaraja Garden,87.78
Nagarbhavi,121.62222222222222
Nagarbhavi  BDA Complex,85.0
Nagarbhavi Garden Villas Layout,180.0
Nagasandra,157.83333333333334
Nagashetty Halli,89.2
Nagavara,109.01235294117647
Nagavarapalya,78.38933333333333
Nagawara Junction,140.66666666666666
Nagondanahalli,53.3
Naidu Layout,79.5
Nallurhalli,69.0
Nandi Durga Road,287.5
Nandi Hills,245.0
Nandini Layout,84.0
Nanjappa Garden,130.0
Nanjappa Layout,78.09333333333333
Nanjappa Layout Vidyaranyapura,115.0
Narayana Nagar 1st Block,62.666666666666664
Narayanappa Garden,70.0
Narayanappa Layout,90.0
Narayanapura,91.57090909090908
Navodaya Nagar,180.0
Nayandanahalli,98.5
Ncpr Industrial Layout,72.5
"Near Electronic City, ",150.0
Near International Airport,103.0
Near ullas theater,205.0
Neeladri Nagar,87.26923076923077
Neelamangala,56.5
Neelasandra,145.0
Nehru Nagar,86.37272727272727
Nelamangala,65.6875
New Gurappana Palya,124.8
New Thippasandra,148.29999999999998
Ngef Layout,419.0
Nirman Layout,60.0
Nobo Nagar,106.66666666666667
Nrupathunga Nagar,80.0
Nyanappana Halli,71.0
OLd Gurappanapalya,151.0
OMBR Layout,132.39473684210526
Off Bannergatta Road,87.0
Off Bannergatta road,115.0
"Off Sarjapur Road, ",87.2
"Off Sarjapur road, ",342.0
Okalipura,120.0
Old Airport Road,184.080303030303
Old Madras Road,115.83971428571428
Old Mangammanapalya Road,140.0
Old Town,200.0
Omarbagh Layout,293.25
Omkar Nagar,67.5
Outer Ring Road East,187.0
P Krishnappa Layout,77.0
P&T Colony,20.03
P&T Layout,41.36666666666667
PC Palaya,48.0
PNS Layout,65.0
Padmanabhanagar,140.63142857142856
Pai Layout,67.26315789473684
"Pai layout , Mahadevapura",214.0
Palace Guttahalli,207.5
Palace Road,137.5
Palanahalli,492.6666666666667
Pampa Extension,125.16666666666667
Panathur,74.06666666666666
"Panathur Road, ",53.0
Panduranga Nagar,60.0
Papareddipalya,115.0
Parappana Agrahara,48.5625
Park View Layout,70.0
Patelappa Layout,143.5
Pattanagere,64.0
Pattandur Agrahara,60.51363636363636
Pattegarhpalya,140.0
Peenya,76.21111111111111
Phase 1 Kammasandra,26.59
Pillahalli,92.0
Pillanna Gardens,20.0
Poorna Pragna Layout,80.787
Poornapragna Housing Society Layout,131.9
Popular Colony,54.0
Postal Colony,209.0
Pragathi Nagar,42.59875
Prakash Nagar,55.0
Prakruthi Nagar,60.0
Prakruthi Township,150.0
Prasanna layout Herohalli,140.0
Prasanth Extension,46.14
Prasanti Nagar,190.0
Prashanth Nagar,336.6666666666667
Prestige Sunrise,41.0
Prithvi Layout,144.96153846153845
Pulikeshi Nagar,285.0
Pulkeshi Nagar,99.1
Punappa Layout,55.0
Puttanahalli,59.0
Puttappa Layout,290.0
Queens Road,169.0
R.T. Nagar,138.30555555555554
RBI Layout,87.0
RK Colony,230.0
RK Layout 2nd Stage,77.5
RMC YARD,162.0
RMV,363.3333333333333
RMV 2nd Stage,277.0
RMV Extension,94.8
